,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
AAPL,0.0,0.0,0.0,0.0,0.0,0.0,23391.299896240234,28683.999938964844,13501.100006103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25198.600006103516,-40518.800201416016,-35356.000061035156,-9944.89990234375
BAC,0.0,0.0,-334.70001220703125,-5624.800033569336,-2937.400016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1128.1999969482422,-1491.7999649047852,0.0,-1591.1999893188477,0.0
CVX,0.0,0.0,14840.500030517578,15867.099914550781,0.0,-29505.800018310547,-6979.300079345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,0.0,0.0,-6553.800048828125,0.0,0.0,-5308.699951171875,-34394.79995727539,-9854.399871826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10309.400024414062,27885.20004272461,7310.500030517578
JPM,0.0,0.0,0.0,24114.499969482422,18422.899780273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15323.100128173828,-43499.19998168945,-37508.00003051758,-10333.174896240234
MSFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEE,0.0,0.0,0.0,-1454.1999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7105.900001525879,0.0,0.0,0.0
NEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268.70002746582,0.0,0.0,0.0
PG,0.0,0.0,0.0,10493.499984741211,29572.90008544922,5982.299957275391,-1539.1999816894531,0.0,4198.2000732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13387.799835205078,-8219.000091552734
SH,0.0,0.0,0.0,-1514.5999908447266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.2000026702881,0.0
SPY,0.0,0.0,0.0,59450.899963378906,82134.20013427734,62911.199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75807.5,-114932.50030517578,-102694.99938964844,-27558.750610351562
TGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18625.300064086914,25397.500228881836,27575.800018310547,0.0,0.0,0.0,-21466.499938964844,-23890.29998779297,0.0,0.0
TSLA,0.0,0.0,-60634.300231933594,-47000.2001953125,-18182.40005493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6111.399993896484,-3434.8500061035156
XOM,0.0,0.0,19360.899963378906,15054.599990844727,0.0,0.0,0.0,0.0,-3151.0000610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
