,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
AAPL,0.0,-891.0003662109375,-274.00054931640625,0.0,-685.0006103515625,-1544.000244140625,0.0,-708.9996337890625,1748.9990234375,477.9998779296875,757.000732421875,1672.0001220703125,247.99957275390625,-1987.9989624023438,0.0,0.0,250.99945068359375,258.00018310546875,-985.0006103515625,0.0,0.0,0.0,950.9994506835901,1836.99951171875,1572.0001220703161
AMZN,0.0,-1275.0007629394531,-457.99942016601744,0.0,0.0,0.0,390.99960327148256,-889.9993896484357,-350.0,434.9998474121112,1513.0004882812464,977.9998779296893,331.99920654296875,433.00018310546875,-1088.9991760253888,-240.00015258789244,350.0,585.0006103515625,325.99945068359375,2155.999755859375,362.00103759765625,-538.00048828125,144.000244140625,1495.9991455078089,675.0
BAC,0.0,-2.9998779296875,-111.00006103515625,0.0,164.99977111816315,-614.9997711181632,0.0,-118.00003051757812,-375.9998321533203,0.0,0.0,-70.99990844726562,330.9999465942383,-295.9999084472656,0.0,0.0,47.9999542236319,317.99983978271484,34.00001525878906,51.000213623046875,339.99977111816406,-90.99998474121094,298.0003356933594,-22.0001220703125,63.99993896484375
CVX,0.0,269.99969482421875,-1227.9998779296875,776.9989013671911,241.00036621093022,-1063.99993896484,-1376.9989013671875,-744.9996948242188,0.0,-233.9996337890625,-1507.000732421875,0.0,183.9996337890625,-255.999755859375,751.9989013671875,-1386.99951171875,0.0,0.0,-205.00030517578125,97.0001220703125,573.0010986328125,352.9998779296875,102.9998779296875,-732.000732421875,0.0
JNJ,0.0,0.0,0.0,175.99945068359375,402.9998779296875,-135.0006103515625,-711.99951171875,0.0,0.0,-213.99993896484375,-933.0001831054688,255.999755859375,200.99945068359375,-585.0006103515625,-111.99951171875,0.0,0.0,168.00079345703125,215.99884033203125,-103.99932861328125,-697.0001220703125,0.0,0.0,0.0,0.0
JPM,0.0,153.00064086914244,-252.00042724609375,-20.000457763671875,1229.99954223633,-407.9986572265625,586.0000610351562,338.99993896484375,-1509.0011596679688,0.0,-548.9990234375,972.9995727539062,1252.0004272460938,-1163.00048828125,-113.00048828125,0.0,254.0008544921875,1402.0004272460938,425.99945068359375,1169.999694824215,1424.00054931641,-855.9997558593714,63.99993896484011,-37.00103759765261,252.99987792968386
MSFT,0.0,-1885.0006103515625,-947.9995727539026,0.0,0.0,-1531.9992065429688,-1097.0001220703161,-1813.9999389648365,3887.9989624023438,1896.002197265625,2113.00048828125,1214.9993896484375,-461.99951171875,-1188.00048828125,0.0,-256.0028076171875,4080.0018310546875,-286.99951171875,2153.997802734375,1606.0028076171875,707.9986572265625,-1847.0001220703125,-1404.0008544921875,3182.0007324218823,2060.9985351562427
NEE,0.0,-140.00015258789062,-397.99957275390625,0.0,109.99984741210938,-109.99984741210938,-177.9998779296875,0.0,0.0,-4.000091552734375,-152.9998779296875,0.0,0.0,0.0,0.0,0.0,95.99990844726562,223.00033569335938,-211.00006103515625,111.99989318847656,213.00010681152253,306.00013732910156,1304.9995422363281,-920.9999084472656,102.00042724609375
NEM,0.0,0.0,0.0,0.0,118.00003051757812,-27.000045776367188,572.9999542236328,-870.0000762939453,0.0,-464.99977111816406,-228.00025939941406,0.0,-29.000091552734375,-307.9998016357422,0.0,0.0,0.0,230.999755859375,-602.9998779296875,0.0,184.00001525878906,479.9999237060547,129.99992370605378,-6.9999694824209655,0.0
PG,0.0,-1130.0003051757812,-26.0009765625,0.0,819.000244140625,239.9993896484375,-1041.0003662109375,0.0,233.00018310546875,769.000244140625,-1388.00048828125,146.00067138671875,625.0,-196.00067138671875,-66.99981689453125,0.0,211.00006103515625,-735.0006103515625,152.00042724609375,180.00030517578125,330.999755859375,-680.0003051757812,-122.0001220703125,38.00048828125,29.0008544921875
