Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM
2022-07-06,141.3211212158203,114.33000183105469,29.28866195678711,130.4524688720703,168.14529418945312,105.82078552246094,261.6148376464844,75.43872833251953,54.9602165222168,138.7404327392578,14.946876525878906,371.890380859375,136.5706329345703,231.73333740234375,40.47317123413086,77.758544921875,142.9199981689453,114.33000183105469,30.979999542236328,140.77999877929688,178.3000030517578,111.88999938964844,266.2099914550781,79.56999969482422,59.45000076293945,146.0500030517578,16.229999542236328,383.25,144.80999755859375,231.73333740234375,41.709999084472656,83.27999877929688,144.1199951171875,115.4800033569336,31.25,143.25999450683594,179.44000244140625,112.98999786376953,267.989990234375,80.19999694824219,60.029998779296875,147.49000549316406,16.389999389648438,385.8699951171875,146.0800018310547,234.56333923339844,42.09333419799805,85.2300033569336,141.0800018310547,112.01000213623047,30.639999389648438,136.8000030517578,177.41000366210938,110.79000091552734,262.3999938964844,78.5999984741211,57.560001373291016,144.97000122070312,16.1200008392334,379.6000061035156,143.02999877929688,227.18666076660156,41.43333435058594,81.01000213623047,141.35000610351562,113.20999908447266,31.010000228881836,141.66000366210938,178.07000732421875,111.7300033569336,263.75,79.69999694824219,59.47999954223633,145.50999450683594,16.270000457763672,382.1099853515625,145.4600067138672,230.77999877929688,41.49333190917969,83.76000213623047,74064300,66958900,35933700,12421200,5335600,10656200,23824400,7918400,7427400,5485200,35243100,70426200,2828500,71853600,21300000,33375700
2022-07-07,144.7127685546875,116.33000183105469,30.120622634887695,132.99147033691406,168.3339080810547,108.49727630615234,263.76708984375,76.2066650390625,55.3484992980957,138.69293212890625,14.725849151611328,377.4602355957031,141.42762756347656,244.5433349609375,40.53463363647461,80.2421875,146.35000610351562,116.33000183105469,31.860000610351562,143.52000427246094,178.5,114.72000122070312,268.3999938964844,80.37999725341797,59.869998931884766,146.0,15.989999771118164,388.989990234375,149.9600067138672,244.5433349609375,41.77333450317383,85.94000244140625,146.5500030517578,116.98999786376953,32.0099983215332,145.3000030517578,179.1199951171875,114.9000015258789,269.05999755859375,80.58000183105469,60.88999938964844,146.19000244140625,16.149999618530273,389.8299865722656,150.1300048828125,245.3633270263672,41.84333419799805,86.76000213623047,143.27999877929688,113.48999786376953,31.469999313354492,143.0800018310547,177.50999450683594,113.4000015258789,265.0199890136719,79.80999755859375,59.470001220703125,144.60000610351562,15.960000038146973,383.2699890136719,145.24000549316406,232.2100067138672,41.37333297729492,85.30000305175781,143.2899932861328,113.8499984741211,31.5,144.10000610351562,177.86000061035156,113.5,265.1199951171875,79.83000183105469,60.209999084472656,145.2899932861328,16.149999618530273,385.1199951171875,145.77999877929688,233.9199981689453,41.72999954223633,85.37999725341797,66253700,57872300,40137900,12741800,5725800,10347400,20859900,5498000,5153900,6623400,28056900,64525900,3959500,81930600,17487300,23817400
2022-07-08,145.39503479003906,115.54000091552734,30.054443359375,132.29649353027344,168.12640380859375,108.15680694580078,263.03985595703125,76.08342742919922,54.87702178955078,137.76199340820312,14.744269371032715,377.1497497558594,139.56971740722656,250.76333618164062,40.56050109863281,80.3729019165039,147.0399932861328,115.54000091552734,31.790000915527344,142.77000427246094,178.27999877929688,114.36000061035156,267.6600036621094,80.25,59.36000061035156,145.02000427246094,16.010000228881836,388.6700134277344,147.99000549316406,250.76333618164062,41.79999923706055,86.08000183105469,147.5500030517578,116.58000183105469,32.25,145.4499969482422,179.99000549316406,115.6500015258789,268.1000061035156,80.43000030517578,60.400001525878906,146.80999755859375,16.1299991607666,390.6400146484375,150.02999877929688,254.97999572753906,42.20333480834961,87.30000305175781,145.0,113.69000244140625,31.559999465942383,141.08999633789062,177.77000427246094,113.61000061035156,263.2900085449219,79.41000366210938,59.25,144.57000732421875,15.920000076293945,385.6600036621094,147.4600067138672,241.16000366210938,41.71666717529297,84.93000030517578,145.25999450683594,114.5999984741211,32.0099983215332,144.8800048828125,178.3300018310547,115.16000366210938,264.7900085449219,79.69999694824219,60.04999923706055,145.99000549316406,16.059999465942383,387.2699890136719,149.88999938964844,242.3333282470703,41.939998626708984,86.94999694824219,64547800,45719700,31153800,7915500,3828300,8807800,19658800,5708300,3516400,4294200,29675000,72397800,2544900,101854200,14751000,17673800
2022-07-11,143.24932861328125,111.75,29.742454528808594,131.12889099121094,168.19244384765625,106.7381591796875,259.9442443847656,76.49109649658203,54.350067138671875,138.73094177246094,14.900829315185547,372.8413391113281,138.0607147216797,234.3433380126953,40.57667541503906,79.96208190917969,144.8699951171875,111.75,31.459999084472656,141.50999450683594,178.35000610351562,112.86000061035156,264.510009765625,80.68000030517578,58.790000915527344,146.0399932861328,16.18000030517578,384.2300109863281,146.38999938964844,234.3433380126953,41.81666564941406,85.63999938964844,146.63999938964844,114.30000305175781,31.790000915527344,142.85000610351562,179.02000427246094,114.2300033569336,266.5299987792969,80.9800033569336,59.529998779296875,146.5800018310547,16.219999313354492,386.8699951171875,148.7100067138672,253.06333923339844,42.11000061035156,86.12000274658203,143.77999877929688,110.87000274658203,31.290000915527344,139.92999267578125,177.52000427246094,112.22000122070312,262.17999267578125,79.72000122070312,58.61000061035156,144.67999267578125,16.079999923706055,383.5,145.7899932861328,233.6266632080078,41.540000915527344,84.36000061035156,145.6699981689453,114.08000183105469,31.549999237060547,141.91000366210938,177.6999969482422,113.55000305175781,265.6499938964844,80.0,59.09000015258789,145.14999389648438,16.1200008392334,385.8500061035156,147.99000549316406,252.10333251953125,41.67333221435547,85.16999816894531,63141600,53487600,29311900,7056800,3645200,7939500,19455200,6100400,4106300,5482900,33881400,58366900,2050800,99241200,11532900,15603800
2022-07-12,144.22825622558594,109.22000122070312,29.647920608520508,128.72891235351562,165.8348388671875,106.84220886230469,249.2913360595703,75.79900360107422,53.56425857543945,137.50547790527344,15.048181533813477,369.5421142578125,136.3348388671875,233.07000732421875,40.453765869140625,78.89765167236328,145.86000061035156,109.22000122070312,31.360000610351562,138.9199981689453,175.85000610351562,112.97000122070312,253.6699981689453,79.94999694824219,57.939998626708984,144.75,16.34000015258789,380.8299865722656,144.55999755859375,233.07000732421875,41.689998626708984,84.5,148.4499969482422,113.2300033569336,32.029998779296875,139.6199951171875,178.4499969482422,115.18000030517578,265.94000244140625,80.9000015258789,59.279998779296875,146.9199981689453,16.40999984741211,386.1600036621094,149.66000366210938,239.77333068847656,42.37666702270508,85.05000305175781,145.0500030517578,108.33999633789062,30.979999542236328,137.25999450683594,175.1999969482422,112.26000213623047,252.0399932861328,79.5199966430664,57.86000061035156,144.3699951171875,16.100000381469727,378.989990234375,143.60000610351562,228.3699951171875,41.573333740234375,82.86000061035156,145.75999450683594,112.16000366210938,31.020000457763672,138.5,177.97999572753906,112.58000183105469,265.8800048828125,80.55000305175781,58.45000076293945,145.86000061035156,16.219999313354492,383.6499938964844,146.66000366210938,236.84666442871094,41.70333480834961,83.77999877929688,77588800,54280300,39527000,8653900,4708800,11250900,35868500,7553900,4886200,5204400,32170900,62219200,3132800,87930900,13732200,21013000
2022-07-13,143.86239624023438,110.4000015258789,29.15631103515625,127.86714935302734,165.44818115234375,105.83970642089844,248.3577117919922,76.0928955078125,53.79537582397461,138.407958984375,15.112646102905273,367.6014099121094,137.16477966308594,237.0399932861328,40.550804138183594,79.21511840820312,145.49000549316406,110.4000015258789,30.84000015258789,137.99000549316406,175.44000244140625,111.91000366210938,252.72000122070312,80.26000213623047,58.189998626708984,145.6999969482422,16.40999984741211,378.8299865722656,145.44000244140625,237.0399932861328,41.790000915527344,84.83999633789062,146.4499969482422,111.77999877929688,31.149999618530273,140.72999572753906,176.3300018310547,112.4800033569336,253.5500030517578,81.30000305175781,59.529998779296875,146.9600067138672,16.600000381469727,381.9200134277344,147.3300018310547,242.05999755859375,42.1533317565918,86.30999755859375,142.1199951171875,106.01000213623047,30.399999618530273,137.13999938964844,174.5,110.37999725341797,248.11000061035156,79.06999969482422,57.36000061035156,144.2100067138672,16.290000915527344,374.6600036621094,142.22999572753906,225.03334045410156,41.3033332824707,83.30000305175781,142.99000549316406,107.02999877929688,31.06999969482422,137.61000061035156,175.66000366210938,111.75,250.19000244140625,79.37999725341797,57.52000045776367,144.41000366210938,16.56999969482422,375.1000061035156,142.66000366210938,225.5,41.47999954223633,83.37999725341797,71185600,61353800,44153700,9414600,5291700,12979900,29497400,7552400,5534400,5075600,39219700,84224600,2769000,97954500,12689100,19928600
2022-07-14,146.8090362548828,110.62999725341797,28.485069274902344,125.967529296875,165.67449951171875,102.14179229736328,249.69424438476562,75.96965789794922,50.83705139160156,137.99948120117188,15.167901039123535,366.7086181640625,137.9664306640625,238.31333923339844,41.34325408935547,77.6278305053711,148.47000122070312,110.62999725341797,30.1299991607666,135.94000244140625,175.67999267578125,108.0,254.0800018310547,80.12999725341797,54.9900016784668,145.27000427246094,16.469999313354492,377.9100036621094,146.2899932861328,238.31333923339844,42.606666564941406,83.13999938964844,148.9499969482422,111.18000030517578,30.219999313354492,136.16000366210938,176.00999450683594,108.2300033569336,255.13999938964844,80.3499984741211,56.790000915527344,145.52999877929688,16.760000228881836,379.04998779296875,146.5500030517578,238.65333557128906,42.77333450317383,83.30999755859375,143.25,107.58000183105469,29.670000076293945,132.5399932861328,172.3000030517578,106.05999755859375,245.94000244140625,78.5199966430664,54.79999923706055,143.47000122070312,16.43000030517578,371.0400085449219,142.9199981689453,229.3333282470703,41.380001068115234,80.69000244140625,144.0800018310547,110.23999786376953,30.09000015258789,134.30999755859375,172.52999877929688,107.98999786376953,250.57000732421875,78.70999908447266,56.56999969482422,143.75999450683594,16.649999618530273,373.6099853515625,143.5399932861328,234.89666748046875,41.38666534423828,81.8499984741211,78140700,51163100,51707800,10150200,5359600,26204800,25102800,6124400,10717600,4867000,41935700,89704800,2976000,78557400,20905500,26343000
2022-07-15,148.49002075195312,113.55000305175781,30.489330291748047,127.55208587646484,168.07928466796875,106.82328033447266,252.28868103027344,74.62337493896484,50.596683502197266,137.8094940185547,14.873201370239258,373.7146911621094,138.32481384277344,240.06666564941406,41.74755859375,78.93502044677734,150.1699981689453,113.55000305175781,32.25,137.64999389648438,178.22999572753906,112.94999694824219,256.7200012207031,78.70999908447266,54.72999954223633,145.07000732421875,16.149999618530273,385.1300048828125,146.6699981689453,240.06666564941406,43.02333450317383,84.54000091552734,150.86000061035156,115.58999633789062,32.630001068115234,138.9600067138672,178.50999450683594,113.87999725341797,260.3699951171875,78.8499984741211,55.779998779296875,145.6999969482422,16.350000381469727,385.25,148.67999267578125,243.6233367919922,43.42333221435547,84.87999725341797,148.1999969482422,111.58999633789062,30.610000610351562,136.42999267578125,176.5500030517578,107.66999816894531,254.77000427246094,76.33000183105469,53.91999816894531,144.10000610351562,16.139999389648438,380.5400085449219,145.85000610351562,236.88999938964844,42.68333435058594,82.9000015258789,149.77999877929688,112.5,30.649999618530273,138.9600067138672,177.7100067138672,109.16000366210938,255.72000122070312,78.25,55.619998931884766,145.33999633789062,16.260000228881836,382.54998779296875,147.9199981689453,240.0,42.93333435058594,84.80000305175781,76259900,84317800,77801700,7051900,5691100,18863900,29774100,8780600,6697500,6264600,36577100,79060400,3831500,69683100,21184200,17243700
2022-07-18,145.42471313476562,113.76000213623047,30.498783111572266,129.3404998779297,164.30706787109375,105.72620391845703,249.86129760742188,73.48568725585938,50.6706428527832,136.13755798339844,14.992923736572266,370.6289367675781,140.86175537109375,240.54666137695312,41.65053176879883,80.3915786743164,147.07000732421875,113.76000213623047,32.2599983215332,139.5800018310547,174.22999572753906,111.79000091552734,254.25,77.51000213623047,54.810001373291016,143.30999755859375,16.280000686645508,381.95001220703125,149.36000061035156,240.54666137695312,42.92333221435547,86.0999984741211,151.57000732421875,117.23999786376953,33.380001068115234,142.13999938964844,178.19000244140625,115.83999633789062,260.8399963378906,78.66000366210938,56.040000915527344,145.08999633789062,16.34000015258789,389.0899963378906,152.77999877929688,250.51666259765625,43.43333435058594,87.94000244140625,146.6999969482422,113.1500015258789,32.099998474121094,139.0800018310547,173.91000366210938,111.29000091552734,253.3000030517578,77.5,54.7599983215332,143.1699981689453,15.979999542236328,380.6600036621094,147.77999877929688,239.60333251953125,42.753334045410156,85.75,150.74000549316406,115.0,33.08000183105469,140.55999755859375,177.74000549316406,114.7699966430664,259.75,78.33000183105469,55.63999938964844,144.94000244140625,16.010000228881836,388.3800048828125,148.5500030517578,244.93666076660156,42.883331298828125,86.58000183105469,81420900,59115400,56382900,7943900,7605700,13977900,20975000,6610800,4662400,6047500,33852000,63203600,4362700,82537500,14243700,19395800
