,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
AAPL,0.0,2100.0,1100.0,0.0,200.0,1100.0,0.0,1700.0,2300.0,1900.0,2200.0,2100.0,2000.0,1100.0,0.0,0.0,1200.0,2000.0,1000.0,0.0,0.0,0.0,1700.0,1900.0,400.0
AMZN,0.0,2100.0,1200.0,0.0,0.0,0.0,400.0,1900.0,700.0,1700.0,2200.0,2100.0,2000.0,2300.0,2000.0,100.0,1300.0,2000.0,2100.0,2000.0,2000.0,2200.0,2200.0,1200.0,400.0
BAC,0.0,2100.0,1400.0,0.0,2100.0,1100.0,100.0,1900.0,600.0,0.0,0.0,1300.0,2000.0,2100.0,0.0,0.0,800.0,2000.0,2100.0,2000.0,2000.0,2200.0,2200.0,1900.0,400.0
CVX,0.0,2100.0,1800.0,600.0,2100.0,1300.0,400.0,1100.0,0.0,1000.0,1100.0,0.0,600.0,2300.0,2000.0,1800.0,0.0,0.0,2000.0,1400.0,2000.0,2200.0,2200.0,200.0,0.0
JNJ,0.0,0.0,0.0,400.0,2100.0,2100.0,1100.0,0.0,0.0,1100.0,2000.0,300.0,2000.0,2300.0,400.0,0.0,0.0,1400.0,2100.0,1200.0,1000.0,0.0,0.0,0.0,0.0
JPM,0.0,2000.0,1400.0,200.0,2100.0,2100.0,2000.0,1900.0,1000.0,0.0,2200.0,2100.0,2000.0,2300.0,100.0,0.0,500.0,2000.0,2100.0,2000.0,2000.0,2200.0,1200.0,1900.0,400.0
MSFT,0.0,1800.0,700.0,0.0,100.0,2100.0,500.0,1500.0,2300.0,1900.0,2200.0,2100.0,2000.0,900.0,0.0,500.0,2100.0,2000.0,2100.0,2000.0,2000.0,2000.0,300.0,1900.0,400.0
NEE,0.0,2100.0,1700.0,0.0,700.0,2100.0,1200.0,0.0,0.0,1900.0,1300.0,0.0,0.0,0.0,0.0,0.0,500.0,2000.0,2100.0,0.0,500.0,2200.0,2200.0,1900.0,200.0
NEM,0.0,0.0,0.0,0.0,1200.0,2100.0,2000.0,1400.0,0.0,1600.0,1100.0,0.0,700.0,700.0,0.0,0.0,0.0,1500.0,1400.0,0.0,300.0,2200.0,2200.0,1800.0,0.0
PG,0.0,1100.0,300.0,0.0,1300.0,2100.0,1600.0,0.0,400.0,1900.0,2200.0,0.0,1200.0,2300.0,800.0,0.0,1400.0,1100.0,500.0,2000.0,2000.0,1000.0,1800.0,1900.0,400.0
SH,0.0,0.0,1100.0,2100.0,700.0,0.0,1800.0,0.0,1500.0,700.0,0.0,0.0,0.0,600.0,2000.0,2200.0,1400.0,0.0,0.0,0.0,0.0,300.0,1400.0,0.0,0.0
SPY,0.0,2100.0,1000.0,0.0,1300.0,2100.0,200.0,1900.0,900.0,1100.0,2200.0,2100.0,2000.0,1900.0,0.0,0.0,800.0,2000.0,2100.0,2000.0,2000.0,1800.0,900.0,1900.0,400.0
TGT,0.0,2100.0,1600.0,0.0,1400.0,900.0,500.0,1900.0,1000.0,100.0,0.0,0.0,0.0,1000.0,0.0,0.0,800.0,2000.0,2100.0,2000.0,2000.0,2200.0,200.0,0.0,0.0
TSLA,0.0,2100.0,1900.0,0.0,0.0,0.0,0.0,1500.0,2200.0,0.0,0.0,2000.0,2000.0,1000.0,800.0,1500.0,0.0,1600.0,1300.0,0.0,0.0,0.0,1100.0,1900.0,400.0
WMT,0.0,2100.0,2100.0,600.0,2100.0,2100.0,0.0,100.0,0.0,1600.0,2200.0,1100.0,2000.0,2300.0,2000.0,900.0,1700.0,0.0,1100.0,2000.0,2000.0,1900.0,1000.0,1900.0,400.0
XOM,0.0,2100.0,1800.0,900.0,2100.0,1300.0,800.0,1900.0,800.0,900.0,1400.0,0.0,0.0,1600.0,2000.0,1500.0,0.0,0.0,0.0,1300.0,2000.0,2200.0,1600.0,0.0,0.0
