,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
AAPL,0.0,98826.47705078125,0.0,0.0,0.0,109178.8828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127691.9751586914,124414.07958984375,0.0,250646.80081176758,0.0,146989.15245056152,0.0,0.0
AMZN,0.0,0.0,253.63999938964844,95671.44758605958,0.0,0.0,0.0,115031.80178833008,0.0,0.0,115.0,0.0,130.22000122070312,0.0,0.0,0.0,0.0,127687.19696044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,0.0,104.16000366210938,0.0,0.0,0.0,0.0,67.11999893188477,119947.7640991211,0.0,0.0,117949.56256103514,238143.16722106934,0.0,0.0,0.0,0.0,0.0,0.0,131.1999969482422,237.7199935913086,126803.20945358276,36.650001525878906,0.0,0.0,0.0
CVX,0.0,0.0,0.0,0.0,0.0,0.0,113605.1961669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127976.39373779297,124683.0,130997.02310180664,0.0,0.0,0.0,0.0,0.0
JNJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127696.68301391602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125115.30569458008,0.0,121246.47050476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144533.6213531494,0.0,0.0
MSFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131156.005859375,0.0,0.0,0.0,127990.80230712892,0.0,0.0,0.0,0.0,0.0
NEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.02999877929688,125563.32298278809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124652.16278076172,0.0,124.09000015258789,55.150001525878906,0.0,0.0,0.0,211.32000732421875,0.0
NEM,0.0,84.4000015258789,0.0,42.59999847412109,0.0,47.369998931884766,0.0,0.0,0.0,0.0,119883.83716201782,118675.69744110107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147394.0594444275,161.84000396728516,131.92499542236325
PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122306.09744262695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH,0.0,30.159999847412113,31.219999313354492,95820.76686286926,62.150001525878906,111481.83840465546,63.880001068115234,0.0,31.659999847412113,29.760000228881836,0.0,70.43000030517578,0.0,0.0,0.0,127589.4873275757,0.0,78.12000274658203,0.0,0.0,59.49999809265136,61.70000076293945,0.0,139635.5781326294,138794.51625823978
SPY,0.0,0.0,92378.50143432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122543.59327697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250149.71202087402,0.0,0.0,0.0,0.0,0.0,0.0
TSLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WMT,0.0,0.0,320.2533416748047,0.0,0.0,109644.28992080688,0.0,0.0,0.0,127865.63768005371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.38000106811523,0.0,295.9099922180176,0.0,0.0,134.0399932861328,0.0
XOM,0.0,95057.96759033205,93669.2993927002,97493.94882202148,0.0,0.0,0.0,118506.80307006834,0.0,0.0,223.80999755859375,0.0,0.0,0.0,0.0,0.0,124000.81108856201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
