Date,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,NEE,NEM,PG,SH,SPY,TGT,TSLA,WMT,XOM
2022-07-06,142.9199981689453,114.33000183105469,30.979999542236328,140.77999877929688,178.3000030517578,111.88999938964844,266.2099914550781,79.56999969482422,59.45000076293945,146.0500030517578,16.229999542236328,383.25,144.80999755859375,231.73333740234375,41.709999084472656,83.27999877929688
2022-07-07,146.35000610351562,116.33000183105469,31.860000610351562,143.52000427246094,178.5,114.72000122070312,268.3999938964844,80.37999725341797,59.869998931884766,146.0,15.989999771118164,388.989990234375,149.9600067138672,244.5433349609375,41.77333450317383,85.94000244140625
2022-07-08,147.0399932861328,115.54000091552734,31.790000915527344,142.77000427246094,178.27999877929688,114.36000061035156,267.6600036621094,80.25,59.36000061035156,145.02000427246094,16.010000228881836,388.6700134277344,147.99000549316406,250.76333618164062,41.79999923706055,86.08000183105469
2022-07-11,144.8699951171875,111.75,31.459999084472656,141.50999450683594,178.35000610351562,112.86000061035156,264.510009765625,80.68000030517578,58.790000915527344,146.0399932861328,16.18000030517578,384.2300109863281,146.38999938964844,234.3433380126953,41.81666564941406,85.63999938964844
2022-07-12,145.86000061035156,109.22000122070312,31.360000610351562,138.9199981689453,175.85000610351562,112.97000122070312,253.6699981689453,79.94999694824219,57.939998626708984,144.75,16.34000015258789,380.8299865722656,144.55999755859375,233.07000732421875,41.689998626708984,84.5
2022-07-13,145.49000549316406,110.4000015258789,30.84000015258789,137.99000549316406,175.44000244140625,111.91000366210938,252.72000122070312,80.26000213623047,58.189998626708984,145.6999969482422,16.40999984741211,378.8299865722656,145.44000244140625,237.0399932861328,41.790000915527344,84.83999633789062
2022-07-14,148.47000122070312,110.62999725341797,30.1299991607666,135.94000244140625,175.67999267578125,108.0,254.0800018310547,80.12999725341797,54.9900016784668,145.27000427246094,16.469999313354492,377.9100036621094,146.2899932861328,238.31333923339844,42.606666564941406,83.13999938964844
2022-07-15,150.1699981689453,113.55000305175781,32.25,137.64999389648438,178.22999572753906,112.94999694824219,256.7200012207031,78.70999908447266,54.72999954223633,145.07000732421875,16.149999618530273,385.1300048828125,146.6699981689453,240.06666564941406,43.02333450317383,84.54000091552734
2022-07-18,147.07000732421875,113.76000213623047,32.2599983215332,139.5800018310547,174.22999572753906,111.79000091552734,254.25,77.51000213623047,54.810001373291016,143.30999755859375,16.280000686645508,381.95001220703125,149.36000061035156,240.54666137695312,42.92333221435547,86.0999984741211
2022-07-19,151.0,118.20999908447266,33.349998474121094,144.61000061035156,171.69000244140625,114.55999755859375,259.5299987792969,78.93000030517578,54.650001525878906,144.0399932861328,15.850000381469727,392.2699890136719,153.36000061035156,245.52999877929688,43.186668395996094,88.2699966430664
2022-07-20,153.0399932861328,122.7699966430664,33.36000061035156,146.52000427246094,170.7100067138672,114.54000091552734,262.2699890136719,78.31999969482422,52.310001373291016,141.5500030517578,15.729999542236328,394.7699890136719,156.5,247.5,43.54666519165039,89.23999786376953
2022-07-21,155.35000610351562,124.62999725341797,33.650001525878906,145.39999389648438,171.30999755859375,115.31999969482422,264.8399963378906,78.87000274658203,52.09000015258789,140.77000427246094,15.579999923706055,398.7900085449219,158.66000366210938,271.7066650390625,44.18333435058594,87.75
2022-07-22,154.08999633789062,122.41999816894531,33.43000030517578,144.19000244140625,172.1199951171875,114.76000213623047,260.3599853515625,80.25,51.38999938964844,143.02000427246094,15.729999542236328,395.0899963378906,157.74000549316406,272.24334716796875,44.06999969482422,87.08000183105469
2022-07-25,152.9499969482422,121.13999938964844,33.72999954223633,148.47999572753906,172.4600067138672,115.22000122070312,258.8299865722656,80.9800033569336,44.59000015258789,143.99000549316406,15.720000267028809,395.57000732421875,157.49000549316406,268.4333190917969,44.00666809082031,89.9800033569336
2022-07-26,151.60000610351562,114.80999755859375,33.04999923706055,147.32000732421875,173.67999267578125,113.41999816894531,251.89999389648438,79.91000366210938,46.13999938964844,144.27000427246094,15.899999618530273,390.8900146484375,151.80999755859375,258.8599853515625,40.65999984741211,89.62999725341797
2022-07-27,156.7899932861328,120.97000122070312,33.59000015258789,149.25999450683594,173.1999969482422,115.23999786376953,268.739990234375,80.37999725341797,45.61000061035156,145.63999938964844,15.479999542236328,401.0400085449219,154.60000610351562,274.82000732421875,42.1966667175293,91.56999969482422
2022-07-28,157.35000610351562,122.27999877929688,33.31999969482422,150.38999938964844,174.1999969482422,114.80999755859375,276.4100036621094,84.54000091552734,45.810001373291016,148.05999755859375,15.300000190734863,406.07000732421875,159.4199981689453,280.8999938964844,43.25,92.63999938964844
2022-07-29,162.50999450683594,134.9499969482422,33.810001373291016,163.77999877929688,174.52000427246094,115.36000061035156,280.739990234375,84.48999786376953,45.279998779296875,138.91000366210938,15.079999923706055,411.989990234375,163.3800048828125,297.1499938964844,44.016666412353516,96.93000030517578
2022-08-01,161.50999450683594,135.38999938964844,33.709999084472656,160.50999450683594,173.91000366210938,114.20999908447266,278.010009765625,85.30999755859375,44.939998626708984,142.89999389648438,15.119999885559082,410.7699890136719,165.5500030517578,297.27667236328125,44.18000030517578,94.4800033569336
2022-08-02,160.00999450683594,134.16000366210938,33.040000915527344,159.13999938964844,172.9199981689453,112.43000030517578,274.82000732421875,85.66999816894531,44.84000015258789,141.9499969482422,15.220000267028809,408.05999755859375,163.47999572753906,300.586669921875,44.22666549682617,94.06999969482422
