,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
AAPL,0.0,0.0,396391.5924297788,203978.74157504085,206342.14742297662,0.0,0.0,135244.627374534,0.0,0.0,169013.08092834768,165218.14041133222,0.0,175565.27724373748,177617.27073845724,0.0,0.0,0.0,182506.79039649354,180837.64871992235,0.0,197853.61253363156,0.0,202875.00796826748,0.0
AMZN,0.0,0.0,0.0,0.0,0.0,0.0,118636.52515204236,0.0,310269.00720431225,334040.6366628206,161866.919071302,347971.4743223097,182592.57587703227,181705.67809043863,0.0,163788.9676064413,184191.58245677574,376483.5477675024,181818.6020101766,0.0,383343.73020920274,0.0,0.0,194489.65564663074,0.0
BAC,101968.30406910193,106082.12665992984,0.0,0.0,0.0,0.0,121750.18780391428,0.0,0.0,163421.99311186626,0.0,352495.63182258327,0.0,0.0,0.0,170266.11915809545,179538.2835970598,0.0,0.0,0.0,0.0,0.0,0.0,397839.62846189237,0.0
CVX,99085.80169219665,1.5651228287913357e-11,0.0,0.0,112178.11275952356,113736.89632180016,127671.80431376155,0.0,296098.9741480826,0.0,0.0,170691.8879265876,183960.49344317237,0.0,173823.27683195114,0.0,0.0,0.0,0.0,0.0,197301.09018395343,0.0,0.0,196703.08961294807,0.0
JNJ,0.0,1.1059302450472335e-12,100551.2270719534,99409.21707647385,113394.88038196176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170645.04091945573,0.0,0.0,0.0,0.0,361322.4070894194,0.0,0.0,200165.14079224897,195089.22919444027,0.0
JPM,0.0,0.0,0.0,0.0,109314.5312629294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165304.1628512734,0.0,0.0,0.0,0.0,190799.7857759158,0.0,0.0,0.0,0.0
MSFT,0.0,0.0,0.0,0.0,0.0,113281.00917499828,0.0,0.0,0.0,0.0,0.0,0.0,185487.3437702411,0.0,176070.92842072895,175157.71042648947,0.0,0.0,0.0,0.0,0.0,198896.8249451292,0.0,0.0,0.0
NEE,99362.75503459519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156479.5798594942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127813.31542421662,0.0,0.0,166135.85584817576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182945.18077560537,0.0,0.0,0.0,0.0,0.0
PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325055.5616486358,0.0,0.0,0.0,166680.87576673992,366889.16724724346,0.0,0.0,0.0,184878.9077106216,0.0,0.0,197395.2474455406,0.0
SH,99676.19742099232,105580.0498166809,98916.07782253427,102097.10202717164,320919.67466681876,115722.8506780517,232291.93620822224,0.0,150115.9292295639,157664.5737413342,0.0,0.0,179186.411347003,185624.23793011386,0.0,166793.3908231202,169154.3185097627,0.0,181967.66750929027,0.0,0.0,0.0,200258.63409261892,0.0,0.0
SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145868.4691887149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185158.43299211937,0.0,0.0,0.0,0.0,0.0,180373.55612453292,0.0,0.0,0.0,0.0,0.0,0.0
TSLA,0.0,1.515074378906825e-11,0.0,0.0,0.0,0.0,0.0,145396.3130233462,145365.425197368,154903.94540254746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WMT,0.0,1.4114800005677222e-11,0.0,0.0,0.0,111955.5390521055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205258.33062058676
XOM,0.0,0.0,0.0,99845.40068545518,0.0,0.0,0.0,132748.06387180742,0.0,166987.32391653812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
